cliente_key,customer_id,country
1,13085.0,United Kingdom
2,13078.0,United Kingdom
3,15362.0,United Kingdom
4,18102.0,United Kingdom
5,12682.0,France
6,18087.0,United Kingdom
7,13635.0,United Kingdom
8,14110.0,United Kingdom
9,17519.0,United Kingdom
10,13758.0,United Kingdom
11,16321.0,Australia
12,16167.0,United Kingdom
13,17865.0,United Kingdom
14,17592.0,United Kingdom
15,13767.0,United Kingdom
16,17238.0,United Kingdom
17,15712.0,United Kingdom
18,15311.0,United Kingdom
19,16329.0,United Kingdom
20,17700.0,United Kingdom
21,14911.0,Eire
22,15998.0,United Kingdom
23,12533.0,Germany
24,17984.0,United Kingdom
25,14871.0,United Kingdom
26,13394.0,United Kingdom
27,16011.0,United Kingdom
28,16393.0,United Kingdom
29,14040.0,United Kingdom
30,12913.0,United Kingdom
31,15061.0,United Kingdom
32,14341.0,United Kingdom
33,17804.0,United Kingdom
34,14156.0,Eire
35,13599.0,United Kingdom
36,17063.0,United Kingdom
37,15719.0,United Kingdom
38,12490.0,France
39,15793.0,United Kingdom
40,17056.0,United Kingdom
41,13526.0,United Kingdom
42,14654.0,United Kingdom
43,17998.0,United Kingdom
44,17742.0,United Kingdom
45,15326.0,United Kingdom
46,14478.0,United Kingdom
47,15967.0,United Kingdom
48,17611.0,United Kingdom
49,15051.0,United Kingdom
50,13097.0,United Kingdom
51,13590.0,United Kingdom
52,15984.0,United Kingdom
53,16887.0,United Kingdom
54,12921.0,United Kingdom
55,14543.0,United Kingdom
56,15945.0,United Kingdom
57,15662.0,United Kingdom
58,15380.0,United Kingdom
59,13110.0,United Kingdom
60,12836.0,United Kingdom
61,15005.0,United Kingdom
62,16620.0,United Kingdom
63,12758.0,Portugal
64,17961.0,United Kingdom
65,15601.0,United Kingdom
66,13442.0,United Kingdom
67,13381.0,United Kingdom
68,16763.0,United Kingdom
69,17243.0,United Kingdom
70,17345.0,United Kingdom
71,13819.0,United Kingdom
72,15808.0,United Kingdom
73,17191.0,United Kingdom
74,13748.0,United Kingdom
75,15265.0,United Kingdom
76,15750.0,United Kingdom
77,17428.0,United Kingdom
78,15485.0,United Kingdom
79,17246.0,United Kingdom
80,14061.0,United Kingdom
81,14108.0,United Kingdom
82,13648.0,United Kingdom
83,16563.0,United Kingdom
84,16701.0,United Kingdom
85,12842.0,United Kingdom
86,14302.0,United Kingdom
87,14135.0,United Kingdom
88,14831.0,United Kingdom
89,15602.0,United Kingdom
90,13777.0,United Kingdom
91,14000.0,United Kingdom
92,16823.0,United Kingdom
93,16163.0,United Kingdom
94,17193.0,United Kingdom
95,15759.0,United Kingdom
96,16131.0,United Kingdom
97,14560.0,United Kingdom
98,17087.0,United Kingdom
99,14894.0,United Kingdom
100,16202.0,United Kingdom
101,16700.0,United Kingdom
102,17511.0,United Kingdom
103,14299.0,United Kingdom
104,14799.0,United Kingdom
105,16550.0,United Kingdom
106,12980.0,United Kingdom
107,14425.0,United Kingdom
108,15353.0,United Kingdom
109,17818.0,United Kingdom
110,13654.0,United Kingdom
111,17189.0,United Kingdom
112,13269.0,United Kingdom
113,14653.0,United Kingdom
114,17019.0,United Kingdom
115,15542.0,United Kingdom
116,13564.0,United Kingdom
117,16467.0,United Kingdom
118,15833.0,United Kingdom
119,14527.0,United Kingdom
120,17476.0,United Kingdom
121,15287.0,United Kingdom
122,14440.0,United Kingdom
123,15680.0,United Kingdom
124,15581.0,United Kingdom
125,13740.0,United Kingdom
126,17768.0,United Kingdom
127,12948.0,United Kingdom
128,14667.0,United Kingdom
129,17377.0,United Kingdom
130,14467.0,United Kingdom
131,13457.0,United Kingdom
132,18108.0,United Kingdom
133,16210.0,United Kingdom
134,14669.0,United Kingdom
135,17909.0,United Kingdom
136,16086.0,United Kingdom
137,16711.0,United Kingdom
138,14739.0,United Kingdom
139,16233.0,United Kingdom
140,14204.0,United Kingdom
141,17606.0,United Kingdom
142,16797.0,United Kingdom
143,16126.0,United Kingdom
144,17867.0,United Kingdom
145,17412.0,United Kingdom
146,16525.0,United Kingdom
147,13623.0,United Kingdom
148,14549.0,United Kingdom
149,14106.0,United Kingdom
150,14980.0,United Kingdom
151,14396.0,United Kingdom
152,16987.0,United Kingdom
153,17809.0,United Kingdom
154,15917.0,United Kingdom
155,14987.0,United Kingdom
156,14080.0,United Kingdom
157,16200.0,United Kingdom
158,15794.0,United Kingdom
159,15523.0,United Kingdom
160,15615.0,United Kingdom
161,18001.0,United Kingdom
162,17841.0,United Kingdom
163,13089.0,United Kingdom
164,15989.0,United Kingdom
165,17660.0,United Kingdom
166,13313.0,United Kingdom
167,12437.0,France
168,14841.0,United Kingdom
169,14646.0,Netherlands
170,15482.0,United Kingdom
171,16156.0,United Kingdom
172,17716.0,United Kingdom
173,12779.0,Poland
174,13611.0,United Kingdom
175,15255.0,United Kingdom
176,14771.0,United Kingdom
177,14838.0,United Kingdom
178,13979.0,United Kingdom
179,13800.0,United Kingdom
180,14483.0,United Kingdom
181,14915.0,United Kingdom
182,13753.0,United Kingdom
183,16301.0,United Kingdom
184,13931.0,United Kingdom
185,17035.0,United Kingdom
186,15194.0,United Kingdom
187,14347.0,United Kingdom
188,12934.0,United Kingdom
189,15291.0,United Kingdom
190,17209.0,United Kingdom
191,15658.0,United Kingdom
192,17314.0,United Kingdom
193,17155.0,United Kingdom
194,15965.0,United Kingdom
195,17322.0,United Kingdom
196,16159.0,United Kingdom
197,14051.0,United Kingdom
198,13993.0,United Kingdom
199,17411.0,United Kingdom
200,15768.0,United Kingdom
201,12835.0,United Kingdom
202,15179.0,United Kingdom
203,17069.0,United Kingdom
204,16918.0,United Kingdom
205,15466.0,United Kingdom
206,14159.0,United Kingdom
207,17581.0,United Kingdom
208,16168.0,United Kingdom
209,14606.0,United Kingdom
210,17287.0,United Kingdom
211,17913.0,United Kingdom
212,13416.0,United Kingdom
213,16779.0,United Kingdom
214,13895.0,United Kingdom
215,14057.0,United Kingdom
216,17017.0,United Kingdom
217,13208.0,United Kingdom
218,17465.0,United Kingdom
219,13468.0,United Kingdom
220,13485.0,United Kingdom
221,17271.0,United Kingdom
222,16139.0,United Kingdom
223,15953.0,United Kingdom
224,15856.0,United Kingdom
225,14967.0,United Kingdom
226,16497.0,United Kingdom
227,17764.0,United Kingdom
228,14905.0,United Kingdom
229,18229.0,United Kingdom
230,17293.0,United Kingdom
231,17853.0,United Kingdom
232,15550.0,United Kingdom
233,13531.0,United Kingdom
234,13786.0,United Kingdom
235,14952.0,United Kingdom
236,14031.0,United Kingdom
237,12937.0,United Kingdom
238,16612.0,United Kingdom
239,12949.0,United Kingdom
240,14958.0,United Kingdom
241,17329.0,United Kingdom
242,16736.0,United Kingdom
243,13001.0,United Kingdom
244,14644.0,United Kingdom
245,14898.0,United Kingdom
246,14662.0,United Kingdom
247,17414.0,United Kingdom
248,14755.0,United Kingdom
249,17576.0,United Kingdom
250,13037.0,United Kingdom
251,14710.0,United Kingdom
252,18168.0,United Kingdom
253,17679.0,United Kingdom
254,17851.0,United Kingdom
255,14750.0,United Kingdom
256,16791.0,United Kingdom
257,16558.0,United Kingdom
258,15884.0,United Kingdom
259,17343.0,United Kingdom
260,17372.0,United Kingdom
261,16003.0,United Kingdom
262,17432.0,United Kingdom
263,14713.0,United Kingdom
264,16722.0,United Kingdom
265,12577.0,France
266,12872.0,United Kingdom
267,15755.0,United Kingdom
268,14258.0,United Kingdom
269,14286.0,United Kingdom
270,13154.0,United Kingdom
271,14564.0,Channel Islands
272,13408.0,United Kingdom
273,16645.0,United Kingdom
274,12714.0,France
275,16335.0,United Kingdom
276,13093.0,United Kingdom
277,12759.0,Netherlands
278,13666.0,United Kingdom
279,17160.0,United Kingdom
280,13946.0,United Kingdom
281,14723.0,United Kingdom
282,14961.0,United Kingdom
283,14735.0,United Kingdom
284,18061.0,United Kingdom
285,15078.0,United Kingdom
286,16883.0,United Kingdom
287,13175.0,United Kingdom
288,17076.0,United Kingdom
289,13948.0,United Kingdom
290,18223.0,United Kingdom
291,16192.0,United Kingdom
292,15999.0,United Kingdom
293,15109.0,United Kingdom
294,14680.0,United Kingdom
295,18092.0,United Kingdom
296,16891.0,United Kingdom
297,13481.0,United Kingdom
298,13807.0,United Kingdom
299,14979.0,United Kingdom
300,16656.0,United Kingdom
301,16746.0,United Kingdom
302,17157.0,United Kingdom
303,15309.0,United Kingdom
304,16325.0,United Kingdom
305,16541.0,United Kingdom
306,16723.0,United Kingdom
307,16699.0,United Kingdom
308,16710.0,United Kingdom
309,12510.0,Spain
310,13162.0,United Kingdom
311,15382.0,United Kingdom
312,13680.0,United Kingdom
313,12970.0,United Kingdom
314,17935.0,United Kingdom
315,17593.0,United Kingdom
316,17151.0,United Kingdom
317,16451.0,United Kingdom
318,17127.0,United Kingdom
319,13694.0,United Kingdom
320,14087.0,United Kingdom
321,13733.0,United Kingdom
322,18181.0,United Kingdom
323,13174.0,United Kingdom
324,13329.0,United Kingdom
325,17421.0,United Kingdom
326,16351.0,United Kingdom
327,15684.0,United Kingdom
328,17884.0,United Kingdom
329,15514.0,United Kingdom
330,13679.0,United Kingdom
331,18225.0,United Kingdom
332,12748.0,United Kingdom
333,13487.0,United Kingdom
334,17018.0,United Kingdom
335,18071.0,United Kingdom
336,16593.0,United Kingdom
337,14238.0,United Kingdom
338,15223.0,United Kingdom
339,13021.0,United Kingdom
340,17115.0,United Kingdom
341,17850.0,United Kingdom
342,14239.0,United Kingdom
343,13999.0,United Kingdom
344,13958.0,United Kingdom
345,13641.0,United Kingdom
346,15420.0,United Kingdom
347,12359.0,Cyprus
348,12820.0,United Kingdom
349,16410.0,United Kingdom
350,15240.0,United Kingdom
351,16158.0,United Kingdom
352,15484.0,United Kingdom
353,14709.0,United Kingdom
354,15057.0,United Kingdom
355,14867.0,United Kingdom
356,17642.0,United Kingdom
357,13813.0,Germany
358,13589.0,United Kingdom
359,12417.0,Belgium
360,17920.0,United Kingdom
361,12975.0,United Kingdom
362,16104.0,United Kingdom
363,17150.0,United Kingdom
364,16277.0,United Kingdom
365,17244.0,United Kingdom
366,15260.0,United Kingdom
367,12583.0,France
368,15555.0,United Kingdom
369,13736.0,United Kingdom
370,14133.0,United Kingdom
371,15571.0,United Kingdom
372,13448.0,United Kingdom
373,17085.0,United Kingdom
374,15059.0,United Kingdom
375,14468.0,United Kingdom
376,16395.0,United Kingdom
377,16485.0,United Kingdom
378,15878.0,United Kingdom
379,15860.0,United Kingdom
380,13373.0,United Kingdom
381,14608.0,United Kingdom
382,14896.0,United Kingdom
383,16964.0,United Kingdom
384,15983.0,United Kingdom
385,13782.0,United Kingdom
386,14454.0,United Kingdom
387,14717.0,United Kingdom
388,16718.0,United Kingdom
389,15751.0,United Kingdom
390,14546.0,United Kingdom
391,17848.0,United Kingdom
392,17561.0,United Kingdom
393,15547.0,United Kingdom
394,17406.0,United Kingdom
395,14479.0,United Kingdom
396,17969.0,United Kingdom
397,14548.0,United Kingdom
398,17916.0,United Kingdom
399,13319.0,United Kingdom
400,16773.0,United Kingdom
401,15479.0,United Kingdom
402,15822.0,United Kingdom
403,13890.0,United Kingdom
404,13211.0,United Kingdom
405,15641.0,United Kingdom
406,14123.0,United Kingdom
407,13019.0,United Kingdom
408,17858.0,United Kingdom
409,14940.0,United Kingdom
410,16686.0,United Kingdom
411,15691.0,United Kingdom
412,16436.0,United Kingdom
413,17610.0,United Kingdom
414,17530.0,United Kingdom
415,13491.0,United Kingdom
416,14003.0,United Kingdom
417,12839.0,United Kingdom
418,17557.0,United Kingdom
419,14738.0,United Kingdom
420,16124.0,United Kingdom
421,12471.0,Germany
422,17739.0,United Kingdom
423,16556.0,United Kingdom
424,14695.0,United Kingdom
425,14828.0,United Kingdom
426,15115.0,United Kingdom
427,13693.0,United Kingdom
428,14955.0,United Kingdom
429,14037.0,United Kingdom
430,18077.0,United Kingdom
431,13905.0,United Kingdom
432,17508.0,Greece
433,16768.0,United Kingdom
434,13984.0,United Kingdom
435,13495.0,United Kingdom
436,13190.0,United Kingdom
437,14408.0,United Kingdom
438,15358.0,United Kingdom
439,17707.0,United Kingdom
440,17044.0,United Kingdom
441,14471.0,United Kingdom
442,17436.0,United Kingdom
443,13234.0,United Kingdom
444,14574.0,United Kingdom
445,15716.0,United Kingdom
446,14540.0,United Kingdom
447,14307.0,United Kingdom
448,18219.0,United Kingdom
449,12747.0,United Kingdom
450,18162.0,United Kingdom
451,17441.0,United Kingdom
452,17988.0,United Kingdom
453,12600.0,Germany
454,12523.0,France
455,13206.0,United Kingdom
456,14512.0,United Kingdom
457,16353.0,United Kingdom
458,16018.0,United Kingdom
459,14670.0,United Kingdom
460,14590.0,United Kingdom
461,13070.0,United Kingdom
462,17457.0,United Kingdom
463,15421.0,United Kingdom
464,17990.0,United Kingdom
465,13148.0,United Kingdom
466,17364.0,United Kingdom
467,13042.0,United Kingdom
468,12443.0,Norway
469,15694.0,United Kingdom
470,16717.0,United Kingdom
471,17231.0,United Kingdom
472,16702.0,United Kingdom
473,13267.0,United Kingdom
474,12540.0,Spain
475,17270.0,United Kingdom
476,13393.0,United Kingdom
477,14113.0,United Kingdom
478,12358.0,Austria
479,18259.0,United Kingdom
480,17047.0,United Kingdom
481,14136.0,United Kingdom
482,16735.0,United Kingdom
483,14215.0,United Kingdom
484,13382.0,United Kingdom
485,13025.0,United Kingdom
486,14558.0,United Kingdom
487,18002.0,United Kingdom
488,17854.0,United Kingdom
489,16013.0,United Kingdom
490,15079.0,United Kingdom
491,18271.0,United Kingdom
492,14290.0,United Kingdom
493,17268.0,United Kingdom
494,17067.0,United Kingdom
495,16560.0,United Kingdom
496,14861.0,United Kingdom
497,17371.0,United Kingdom
498,18145.0,United Kingdom
499,16400.0,United Kingdom
500,15093.0,United Kingdom
501,13643.0,United Kingdom
502,17852.0,United Kingdom
503,15456.0,United Kingdom
504,13571.0,United Kingdom
505,16732.0,United Kingdom
506,16940.0,United Kingdom
507,15162.0,United Kingdom
508,18203.0,United Kingdom
509,14494.0,United Kingdom
510,17978.0,United Kingdom
511,15031.0,United Kingdom
512,14085.0,United Kingdom
513,17230.0,United Kingdom
514,12785.0,Portugal
515,13081.0,United Kingdom
516,14605.0,United Kingdom
517,14285.0,United Kingdom
518,16892.0,United Kingdom
519,13204.0,United Kingdom
520,15924.0,United Kingdom
521,15823.0,United Kingdom
522,13576.0,United Kingdom
523,17178.0,United Kingdom
524,13798.0,United Kingdom
525,18275.0,United Kingdom
526,13855.0,United Kingdom
527,15298.0,United Kingdom
